LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Morris,Webb,,,,,,,,Unknown (Jesus as a man of color),,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,
Morton,Edna,,,,,,"The Secret Sorrow,Spitfire,The Schemers,The Sport of the Gods,The Jazz Hounds,The Call of His People,The Burden of Race,The Simp,Easy Money,Uncle Remus' First Visit to New York,A Son of Satan",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Moses,Lucia Lynn,,,,,,The Scar of Shame,,,,Slow Fade to Black,,,
Moses,Ethel,,,,,,Temptation,,,,Slow Fade to Black,,,
Murphy,Bert,,,,,,"Are Working Girls Safe?,Aladdin Jones,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Muse,Clarence,,,,Producer (per Caddoo),,The Custard Nine,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,The Sport of the Gods,,
Noisette,Katherine,,,4/16/35,,,"The Wages of Sin,A Daughter of the Congo,When Men Betray",,,,,,,
Norcom,Alfred,,,,,,"Regeneration,Black Gold",,,,Oscar Micheaux and His Circle,,,
Norman,Richard E.,,7/13/1891,11/7/60,"Producer, Director",,,"Black Gold,The Flying Ace,Regeneration,The Crimson Skull,The Bull-Dogger,The Love Bug","The Flying Ace,The Love Bug,The Crimson Skull,The Bull-Dogger,Black Gold,Regeneration",,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Richard E. Norman and Race Filmmaking",,Norman Film Manufacturing Company,
Offeman,Emil,,,,"Shareholder in Reol Productions, per Peterson. --MP",,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,Reol Productions Corporation,
Owens,Virgel,Virgil Owens,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Peregini,Frank,,,,,,,The Scar of Shame,,,Slow Fade to Black,,,
