LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Amos,Tom,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Tolliver Brothers,,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
De Forest,Lee,Lee de Forrest,,,,,,Sissle and Blake,Sissle and Blake,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Downing,Henry Francis,,,,"Playwright of The Racial Tangle (1920), on which Thirty Years Later was based. Author of The American Cavalryman: A Liberian Romance, on which A Daughter of the Congo was based. Both per Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,,,,,,,,"Thirty Years Later,A Daughter of the Congo"
Forbes,Randolpf ,,,,,,,Slave Days,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Whitney,Homer Tutt,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Broken Violin,,,,Oscar Micheaux and His Circle,,,
Paul,Ike,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Broken Violin,,,,Oscar Micheaux and His Circle,,,
Hind,Rudolph,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Wages of Sin,,,,Oscar Micheaux and His Circle,,,
Micheaux,Swan,,,,"Brother of Oscar, manager of Micheaux Film Corp until March 1, 1927.

Thereafter booking Manager of Dunbar Film Corp (Sampson 62). --MP",,,,,,Fire and Desire: Mixed-Race Movies in the Silent Era,,"Micheaux Film Corporation,Dunbar Film Corporation",
West,Charles,,,,"Listed as organizer of Peacock Photoplay Company by Sampson, 10.",,,,,,Blacks in Black and White,,Peacock Photoplay Company,
Brooks,Dudley A.,,,,"Treasurer of Lincoln MPC, per Sampson. --MP",,,,,,Blacks in Black and White,,Lincoln Motion Picture Company,
Tyler,Willes O.,,,,"Attorney for Lincoln MPC, per Sampson (27).",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,Lincoln Motion Picture Company,
Pickens,Albertine,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
Everett,Estelle,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
Clements,Stebeno,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
White,Frank,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
Saunders,Elsworth,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
Richardson,Sallie,,,,,,The Law of Nature,,,,Blacks in Black and White,,,
Thomas,D. Ireland,,,,,,,A Man's Duty,,,Blacks in Black and White,,,
Wells,Miles M.,,,,"According to Sampson, he headed the group of ""Chicago blacks"" who formed the Unique Film Company in 1916.",,,,,,Blacks in Black and White,,Unique Film Company,
Dillon,W.H.,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,
Hackett,LeRoy,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,
Evans,John T.,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,
Williams,Agusta,,,,,,In the Depths of Our Hearts,,,,Blacks in Black and White,,,
Conn,Irene,,,,,,In the Depths of Our Hearts,,,,Blacks in Black and White,,,
DeLa Valade,Herman,,,,,,In the Depths of Our Hearts,,,,Blacks in Black and White,,,
Lorain,Harry,,,,,,Swami Sam,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ferrando,Don,,,,,,Swami Sam,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
May,Mabel,,,,,,The Symbol of Sacrifice ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Robinson,Willard,,,,,,Syncopated Sermon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Hall Johnson Choir,,,,,,,Syncopated Sermon,,,,,,,
Mack,Roy,,,,,,,Syncopated Sermon,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sam Robinson,,,,,,,,,,,,,,
"Samuel ""Sambo"" Jacks",,,,,,,The Janitor ,,,,,,,
Rodgers,George E.,,,,"According to Sampson, Rodgers was VP of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Bristol,W.E.,,,,"According to Sampson, was pres of Ebony Film Corp. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Molyneaux,,,,,,,,,,,,,,
Schroeder,Edward,,,,"According to Sampson, was VP of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Mummery,William,,,,"According to Sampson, was treasurer of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Roane,Charles B.,,,,"According to Sampson, was secretary of Ebony. --MP",,,,,,,,Ebony Film Corporation,
Graham,Thomas,,,,"According to Sampson, was director of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Pollard,L.T.,,,,"According to Sampson, was director of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Phillips,George,,,,"According to Sampson, was representative of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,
Barker,Edwin L.,,,,"According to Sampson, was president of Birth of a Race Photoplay Corp. --MP",,,,,,Blacks in Black and White,,Birth of a Race Film Company,
Williams,John C.,,,,"According to Sampson, was secretary-treasurer of Birth of a Race Photoplay Corp.. --MP",,,,,,Blacks in Black and White,,Birth of a Race Film Company,
Kalana,Thias Nehli,,,,,,Loyal Hearts,,,,Blacks in Black and White,,,
Smith,Byron,,,,,,Why Worry?,,,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Morris,Mae,,,,,,Why Worry?,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,
Brown,Frank,,,,,,Why Worry?,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,
McKinney,Catatin T.N.,,,,"A ""Los Angeles businessman,"" president of Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,
Coleman,J.W.,,,,"A ""proprietor of an employment company,"" VP of Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,
Norris,J.T.,,,,Treasurer of Democracy (Sampson 60).,,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,
"Saunders, Tressie",,,,,,,,,Woman's Error,,,,,
Peacock,Leslie T.,,,,"A ""former captain in the English Army,"" scenario writer for Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,
"Simms, Margaret",,,,,,,Yamekraw,,,,,,,
"Roth, Murray",,,,,,,Yamekraw,Yamekraw,,,,,,
"Cook, Louise",,,,,,,Yamekraw,,,,,,,
Eckert,Peter,,,,Pres. of Dunbar Film Corp (Sampson 62). --MP,,,,,,Blacks in Black and White,,Dunbar Film Corporation,
Elwald,Bertha,,,,Secretary-Treasurer of Dunbar Film Corp (Sampson 62). --MP,,,,,,Blacks in Black and White,,Dunbar Film Corporation,
Zulu Tribesmen,,,,,,,"A Zulu's Devotion,Zulutown,Zulutown Races",,,,,,,
Bell,Willie,,,,Secretary of Afro-American Film Exhibitors Company (Sampson 76). --MP,,,,,,Blacks in Black and White,,Afro-American Film Company,
Riley,W.M.,,,,"Secretary-treasurer of Eagle Film Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Eagle Film Company,
McFall,S.B.,,,,"Cameraman, Eagle Film Company AND also sec-treasurer & director of McFall Film Production Co., per Sampson (77). --MP",,,,,,Blacks in Black and White,,"Eagle Film Company,McFall Film Production Company",
Bynum,W.C.,,,,"Director for Eagle Film Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Eagle Film Company,
Austin,S.A.,Buddy Austin,,,"Organized Strand Amusement Corp., per Sampson (77). --mp",,,,,,Blacks in Black and White,,Strand Amusement Corporation,
Easter,W.K.,,,,"President of McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Holman,E.W.,,,,"VP of McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Ewing,A.T.,,,,"Cameraman, McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Thorton,Willard,,,,"Head of scenario dept., McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Blanton,L.D.,,,,"Editor for McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Parks,Jason,,,,"Art director for McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,
Williams,J.I.,,,,"Owner of Wester Picture Producing Company, per Sampson (77). --MP",,,,,,,,Western Film Production Company,
Milburn,I,,,,Sampson lists him as head of Paragon Pictures. --MP,,,,,,Blacks in Black and White,,Paragon Pictures,
Allen,Eleanora,,,,"Secretary of Paragon Pictures, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Paragon Pictures,
Carpenter,William,,,,"In charge of sound department for Paragon Pictures, per Sampson. --MP",,,,,,Blacks in Black and White,,Paragon Pictures,
Cyrus,S.,,,,"Cameraman for Paragon Pictures, per Sampson (77). --MP",,,,,,,,Paragon Pictures,
Jacques,Samuel,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Boles,Lottie,,,,,,The Realization of a Negro's Ambition,,,,Blacks in Black and White,,,
Farmer,Jacque,,,,,,Nobody's Children,,,,Blacks in Black and White,,,
Griffin,Alex,,,,,,Nobody's Children,,,,Blacks in Black and White,,,
Green,Joe,,,,,,Nobody's Children,,,,Blacks in Black and White,,,
Maurice,Richard,,,,,,Nobody's Children,,,,Blacks in Black and White,,,
Nelson,Howard,,,,,,Nobody's Children,,,,Blacks in Black and White,,,
Junior,Yvonne,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Watson,Julia,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Lewin,George,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Ward,Norman,,,,,,A Modern Cain,,,,Blacks in Black and White,,,
Quarles,Vivian,,,,,,A Modern Cain,,,,Blacks in Black and White,,,
Williams,Theodore,,,,,,A Modern Cain,,,,Blacks in Black and White,,,
Harris,Harriet,,,,,,A Modern Cain,,,,Blacks in Black and White,,,
Moralis,Bertie,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Rajah,maha,,,,,,The Tale of a Chicken,,,,,,,
Whitely,Elsie,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Joyce,Andrian,,,,,,For His Mother's Sake,,,,Blacks in Black and White,,,
Walker,Ruth,,,,,,For His Mother's Sake,,,,Blacks in Black and White,,,
Hotaling,Arthur D. ,,,,,,,,,,,The Tale of a Chicken,,
Dupree,Robert,,,,,,The Janitor ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
